symbol	CYFZ_PBMC	FY2H_PBMC	FLWA_PBMC	X453W_PBMC	X684C_PBMC	CZJE_PBMC	DZQV_PBMC	X925L_PBMC	X9JD4_PBMC	G4YW_PBMC	X4DUY_PBMC	X36TS_PBMC	CR3L_PBMC
SRGAP2	28.3333338	37.215418	22.237147	33.543129	27.640153	23.75955725	31.045144	36.228737	20.843744	26.144969	32.06901	32.66913104	29.56703
SRGAP3	4.613995	4.693987	3.842162	3.34204064	4.582110192	3.685283545	4.48436268	4.994675	5.238741	3.32177924	4.649275	3.213486202	3.5545534
SRGN	1901.47	2038.312	1563.943	1800.021	1433.0129	2443.95	1281.235	960.2841	795.4005	906.9177	912.4003	2660.013	2040.581
SRI	114.03066	101.65505	106.39235	89.74196	102.306478	106.725613	80.43823	95.53251	109.5826	103.82417	69.18888	99.756569	96.50858
SRM	5.297338	2.330518	3.98377	6.545091	3.555429	6.350502	4.916479	5.12143	16.06308	16.67963	5.906356	3.226333	5.117546
SRP14	348.65896	291.10826	314.68062	268.34237	303.95674	343.436476	254.55066	288.927455	289.303113	340.475171	213.976736	263.405679	337.492848
SRP14-AS1	0.77355	1.18163	3.37886	4.20634	4.193544	2.21042	3.525874	2.748941	5.762354	3.614214	5.503395	2.599225	4.3924
SRP54	46.828781	49.563755	54.442099	65.00863	61.407165	36.69384419	48.051274	52.771632	42.910386	50.877029	68.36467	29.46793	42.5430302
SRP68	30.043223	46.2104648	56.302164	43.365797	53.732412	23.7455767	31.907043	44.00689332	59.10985801	46.33386289	49.76439047	21.48065211	49.323327
SRP9	357.46279	377.8446812	455.56321	459.59706	448.7729	424.2275	266.12271	287.51609	285.65028	328.46721	342.24566	272.74267	342.67604
SRPK1	25.812119	15.048568	22.304027	30.432787	27.09685	24.88187969	23.888963	32.603138	29.778272	23.085561	25.132973	28.971031	28.1742
SRPK2	57.74881	41.276265	54.751589	49.511344	40.454999	58.123043	36.510124	60.76561	49.48707701	60.573883	52.554067	43.148344	62.151175
SRPRB	37.899302	27.74666	39.552	53.201992	42.482895	38.12811	38.103351	31.081752	35.88898	38.231908	47.274689	24.903084	24.36749
SRR	5.809818	3.81889	5.199501	7.01693	12.18907	10.552677	12.350839	4.43379	4.901891105	9.70517	9.673207	2.341573	6.089085
SRRD	20.89509	15.42591	16.34069	20.227085	23.5283	24.26348	7.272262	10.261462	16.45807	11.66189	7.11301	15.70942	21.09863
SRRM1	70.83281905	103.494364	84.72880924	106.6884723	128.6987511	127.20907	83.93150603	90.957788	73.164897	82.889065	79.95516	86.552552	116.86853
SRRM2	71.1686941	50.236732	114.3414322	121.510715	131.148125	94.065741	93.9881847	88.090535	106.666776	123.660005	78.5305484	94.2604447	105.362747
SRRM5	0.389693	0.831603	0.0428304	0.998945	0	0	0.484098	0.198374	0.801579	0.397634	0.216581	0.0408827	0.25436
SRSF1	119.60474	117.718468	141.65396	141.37321	153.37366	114.11668	137.392006	137.443719	126.924249	153.433018	157.928721	97.70558	113.905767
SRSF10	134.577878	157.0786	130.89423	162.053954	160.535098	113.6532	122.004272	113.76306	155.319641	130.58029	125.21065	117.096521	132.85122
SRSF11	212.57329	202.71092	201.69212	263.17053	238.68098	225.834478	222.358091	220.26314	250.42977	196.08687	230.050222	186.24525	259.920398
SRSF2	261.611576	210.288196	272.580194	331.76354	299.857073	331.22725	276.28078	264.40147	254.656408	247.83414	240.67212	323.803038	257.854294
SRSF3	317.22779	395.99422	366.413036	463.95914	370.51484	508.793037	312.988719	272.505469	299.8253	265.49116	288.7401	506.93396	377.033156
SRSF4	70.56119	64.666077	88.08846	88.60003	81.064672	65.8403	82.17678	70.42058	66.836597	77.100589	81.91676	53.34151	64.282665
SRSF5	1095.914535	1182.085281	1172.150507	1442.257938	1151.94585	1479.671257	930.405975	705.095993	697.226882	730.392651	797.416372	1196.838215	1236.211055
SRSF6	200.04047	339.01101	312.56587	413.43245	383.09117	324.276463	153.12157	143.559553	127.91587	142.68316	140.95876	217.24235	336.74011
SRSF7	381.9857036	348.4016492	410.627322	518.8749	413.6904573	501.573225	250.4480686	290.5349977	323.979238	284.999729	279.4142027	401.590817	395.825978
SRSF9	38.17174	32.92194	47.251421	44.15605	30.87965	36.9877	69.9367	47.1869	58.730817	61.0206	52.3544	64.8568	37.19166
SRXN1	5.76737	3.67046	8.70552	5.77067	5.93053	5.83192	5.67429	6.68986	7.45959	8.12676	9.30602	9.63947	2.08326
SS18	74.59590814	72.035528	57.41590738	86.799428	70.143776	78.238853	47.26231	75.6935971	74.778551	83.958491	82.786761	56.86708107	60.518649
SS18L1	3.82411	4.04899	2.37572	7.88685	7.194461	3.834694	4.81795	5.537725	4.822236	3.99358	3.5139086	4.878897203	4.014747
