GeneSymbol	VB002_z1	VB002_z2	VB005_z1	VB010_z1	VB010_z2
CST7	76.2731686894348	53.5411389613404	21.9573190114412	60.2502152659659	18.9914772378416
CSTA	82.7850074803218	32.1234814115571	71.7925516277355	195.562877126159	151.29588018361
CSTB	1128.2290181676	716.197808014616	540.790574829755	468.320063898123	618.250945687672
CTA.29F11.1	13.7806583814545	9.51835937556202	25.8059191781752	9.65010214833485	17.7086452620194
CTBP1	81.1791376205445	113.799438399547	71.0025299165282	118.12052548874	119.411491783382
CTBP1.AS2	6.19299701473907	7.01953279022501	2.98331720181588	4.40806200542466	5.77272672055673
CTC.241N9.1	1.36504599213513	1.36504599213513	1.36504599213513	1.51301083145546	1.97188882346302
CTC.308K20.1	3.88289466770829	1.22785326963417	1.22785326963417	1.22785326963417	3.80016789669456
CTC.498J12.1	1.39499586744581	1.39499586744581	1.39499586744581	1.54563494040859	1.39499586744581
CTD.2015H6.3	5.15694359211885	1.827151517998	8.51430032785312	7.42557934763587	14.9635495659118
CTD.2017D11.1	4.42016836126559	4.10816316821752	6.87224800366086	8.85150154714322	9.57915303654855
CTD.2020K17.1	5.98299282044582	11.3408297919439	10.7877216991584	10.5950234502836	8.85597581055574
CTD.2020K17.4	1.91732261607815	1.91732261607815	2.2454832399045	5.13622916087848	1.91732261607815
CTD.2325P2.4	1.34387835873039	1.7084101295701	1.34387835873039	1.34387835873039	2.21274687543946
CTD.2626G11.2	1.47527683587361	1.46061785353833	2.0991416584884	1.48065480414689	1.4930405604584
CTD.3193K9.4	2.77691874281793	1.16344100677661	3.41955139674519	4.23032618062351	1.16344100677661
CTDNEP1	174.195658031475	143.197089654464	77.3885390934003	179.490839960756	178.478718242932
CTDSP2	36.6692886869002	31.1713875820929	130.077685194106	45.7046106790909	48.4881726426771
CTDSPL	11.7372798741686	2.39458368280337	15.5525297486404	7.19925497461243	7.69091210536063
CTGF	130.839679942836	109.489076863039	53.4510258128463	127.445011705196	171.36767239029
CTH	1.3171365600047	3.32495452961768	1.51901563471586	1.3171365600047	1.3171365600047
CTHRC1	90.7428999175047	58.76625863151	40.394634068644	121.175222966316	162.296965885451
CTNNAL1	37.9023438660677	71.2730391900889	20.327536585623	23.1031653452833	22.9950906959401
CTNNB1	310.758612377229	225.667415686304	172.350813650419	235.440471444165	265.792693414074
CTNNBIP1	15.2740055969254	21.3371330585331	9.70287829429557	8.97728489993223	5.82369230346747
CTNNBL1	20.4543978179876	31.7207952347014	14.8697840653414	25.1975389138257	25.8342094646162
CTNND1	79.6130380281085	54.356751153166	139.569393712165	98.7891129624511	93.1199005596016
CTPS1	19.7782065099973	18.9038954973198	6.40585263735709	4.31915937300975	4.86353775486265
CTSA	204.322608442197	199.577921709177	142.217699704447	228.065160132941	268.523409777484
CTSB	1662.685840881	1537.12360111139	464.425400853116	759.57474075992	1021.8048454224
CTSC	441.326377737222	544.270711132843	183.551494243249	301.468150754207	135.014929633154
CTSD	741.740386974157	764.507874744744	627.261469890403	1166.85265466136	852.667293294285
CTSE	1.84172619124293	1.82290962655277	1.92557715321341	122.968594764585	114.583247156686
CTSF	32.5503378052272	10.198733872504	64.507534776991	38.0870218889991	45.0841742420366
CTSH	121.44818899951	101.183744319941	262.859918458872	308.673336663034	208.563864347195
CTSK	79.8979077542064	46.9847183729479	45.8784481447925	107.631329030421	214.348897444478
CTSL	281.893876708244	392.755935253866	73.9107474220457	125.7189287076	174.739221856606
CTSS	362.045725173767	339.452605559105	337.805524784884	554.929988586438	289.070914931061
CTSV	5.80009661837214	4.66647759992268	1.41994983951922	1.54296146667659	2.01070609610588
CTSW	43.8796341343676	25.5817662902807	23.2889226837821	46.8832735635063	38.8320906201736
CTSZ	353.848026204931	331.963250659589	152.425413975205	343.207078788503	300.045417747361
CTTN	334.927120489624	203.463232205369	170.958870870804	53.9700261663807	59.573566659252
CUL4A	16.4823328358962	15.5775538362256	11.9816961367978	14.1421020243036	23.9946363776632
CUX1	56.8689261774084	69.8843586128556	63.2466820016007	103.739072838479	140.468517478973
CWC15	127.433160473597	106.502416737884	95.610769506071	187.873850531819	118.431166521042
CWC27	12.0435736982565	17.6562292044575	9.83692752327601	18.9496843545226	17.9642404744059
CXADR	12.1251736549476	9.163772508855	116.427183411417	26.5378291249315	40.32095670882
CXCL1	163.95475108124	289.245645221778	13.4137093852766	13.4978637144525	31.9920685737958
CXCL10	38.0945612827738	42.8165970296952	1.7120896200521	11.6002783539329	6.44774668818759
CXCL14	19.7652980684239	19.6150255907946	175.263096126443	300.331627229257	26.2171620264377
CXCL16	87.2706839305687	76.0656623332862	46.0892597959628	127.699616573119	158.692181650202
CXCL17	20.0544054514156	4.72958725162258	13.7896153364391	6.69264164443262	29.5562877210407
CXCL2	177.400046232772	349.119692321777	16.6040223031652	15.9573876423513	32.9761229925032
CXCL3	75.8747634615525	213.479576105892	9.42079143197072	13.0845070711234	114.135288202565
CXCR4	141.45616232608	249.745428408463	131.725177359873	242.903923215036	229.657025606193
CXXC1	17.1147456975156	19.8593119909778	25.6424322040365	19.1624255779454	13.3213580664834
CXXC4	2.07260582382678	1.47295920542142	2.42444621597493	1.98957479977733	1.66665726337555
CXXC5	43.363371653511	16.1134049874346	54.1458323823253	53.9652649603715	82.6801289708037
CXorf21	6.34442921042721	7.52038093169102	3.74827076357037	10.5237583147769	3.49329612341771
CXorf23	4.81523312293227	6.21771633813001	17.9141342357953	7.98440892240207	5.37894426378052
CXorf40A	1.39429509915243	1.39429509915243	1.39429509915243	1.39429509915243	1.55783104225059
CYB5A	54.1094925728845	43.4849086833538	203.664439041877	78.757397546767	80.2071815783253
CYB5B	105.285130266403	80.8736389845128	105.327907489723	42.3465406468051	51.6323855831233
CYB5D2	7.07596660056292	5.86895555620091	13.8268577828755	8.98379641410594	3.69240569119906
CYB5R1	40.2188692737954	34.858405130707	43.4870225977362	26.0212102072065	31.8103668128126
CYB5R3	275.169954956156	241.236699943815	227.95631888414	222.410141737836	209.509740738473
CYBA	795.218429406939	692.696937953004	147.125015614672	423.349018784125	255.143154690433
CYBB	147.890397694865	125.095333820068	116.827559066372	201.964985373167	115.595177195475
CYC1	224.447865828311	210.676656752959	79.3104590066097	119.417986172892	97.7948287797283
CYCS	333.676769257031	333.647552732758	254.633249892419	185.178762486471	184.815671778928
CYFIP2	8.72193040785012	6.82954807903034	17.577937753836	14.5717932729581	3.6728168775359
CYGB	79.1026820320781	59.4898181374732	93.0984099969208	163.360225399952	112.019163074139
CYP1B1	6.40012768699918	7.446380680689	6.63574951060077	4.3856463367895	8.33317311453141
CYP24A1	16.8022986667452	2.25533416975234	3.78346282155559	4.25651115011539	4.30217644447095
CYP27B1	4.71227184688823	2.97312104850606	4.18466902534466	4.1263755555975	4.34903395699416
CYP2J2	3.67207565809802	1.37450307227118	3.41289259380037	1.63863528216563	2.02496775044897
CYP39A1	1.34496835275211	1.47060535926426	1.34496835275211	2.27206486546083	1.50325210016944
CYP3A5	2.06764712890325	2.16050159987263	11.7795465184003	11.8679850867486	8.44778152723729
CYP4B1	2.43914830832004	2.3776842135527	67.0106486353555	18.8932948797118	17.276095111347
CYP4F12	0.972073598279994	0.962412550826029	13.0547834935832	11.5837880537541	11.984203853663
CYP4F22	1.31107706719291	1.29804686481319	13.3009569571492	1.31585748889188	1.32686707676096
CYP4F3	3.34439767520754	5.47534605088872	19.6277418470445	3.13011661730014	6.49202252917465
CYP4X1	1.03258875596154	1.02232625901646	4.84534902282349	16.2828786467084	9.59732095587607
CYR61	135.785640995075	208.906935873577	60.9698212475191	81.7606213253208	171.6019877115
CYSLTR1	5.00627203748593	2.56815487634188	12.0028925941544	8.12141333554345	1.82920795870632
CYSTM1	71.7020316664455	89.2051331868863	105.988262738847	131.84291705222	129.513366016571
CYTH2	32.466784236218	28.6216385365145	57.851528000594	62.9126253361323	40.1836262515006
CYTH3	8.95879365478349	6.71615454589896	7.37799388327683	8.17297870713023	10.4581048738287
CYTH4	51.4873345926775	81.2865259831298	33.0658201801316	62.9099861993375	29.7490296323248
CYTIP	40.018300392579	92.539908089314	11.0491583088801	102.140841853301	65.6233030018741
DAAM1	44.3283461070412	29.1325422863497	107.425121299026	77.5086768269556	83.7626019344932
DAB2	152.776685263462	115.980195293168	94.4366884376734	162.697685898576	186.740810287353
DAB2IP	9.15406738851799	8.88819268400328	7.12908705811975	9.92159869077583	12.6887363681117
DACT3	5.81790217720268	1.02452913084628	4.08738112879451	2.57210949991375	4.33804743228917
DAD1	259.61842552799	334.677126309604	212.48286380337	211.374184962121	334.508096006851
DAG1	21.4070252292132	4.74053794665293	3.90387269259591	31.7938804499664	26.428292267304
DALRD3	8.04672683845545	5.93351221078948	4.09367245111197	10.1942242937579	12.1159541360639
DAP	71.0878485501462	46.9030103724871	122.350769204775	155.636446458804	170.891861200329
DAPK1	3.2571798208646	3.46546578891813	4.29519063053971	3.27233578207389	7.43012967419052
DAPL1	1.77347229458032	1.94782919141784	19.8783286288085	1.77347229458032	1.99326072930314
DAPP1	13.8100581436589	15.981504856684	7.4338030127287	9.62872341405343	6.58316503285625
DAZAP2	203.551691490673	206.647472320626	262.196454266442	353.370928606655	324.586845734601
DBF4	9.41620993665611	10.8163091742328	5.60696230346577	13.8857273731474	5.42119568606983
DBI	409.210774636714	492.432773697882	1146.33798042557	575.797052885362	407.777491766057
DBN1	27.5529760480801	38.4346854075207	19.8365759225766	46.3122468273695	36.9215858175471
DBNDD1	6.87131264579628	2.05431641111911	6.93077396188538	1.07480098938551	5.09978589656544
DBP	7.93771243711366	4.24654174518861	4.52941225144406	4.13990238054442	4.2044392662587
DCAF13	62.4813078236978	33.6698801229674	52.8629532422751	39.352718802027	21.8131893366331
DCAF16	11.9771981698571	15.221475866461	10.4223100710596	13.252567893985	12.8987982940947
DCAF7	116.259521535184	122.797008684381	191.277459940211	152.240177939796	123.837095066529
DCBLD1	9.82846992394469	8.13083046971207	3.37535160253339	16.9651612944426	12.8328870523362
DCBLD2	21.6810648925849	29.708455127015	7.83016424694663	4.21476442866261	4.76844160494198
DCLRE1B	8.00223204036246	7.47865322452654	3.95462885544228	4.28378267743526	2.59417507504235
DCLRE1C	20.0097697013296	13.6275243266271	40.4123584571623	14.2444517734222	12.0839249911096
DCTD	31.0876282292334	22.9365046629715	7.70803073647624	25.7946300482229	33.5910753439076
DCTN2	95.9544031389539	103.109681510284	367.824924898055	86.9860263279882	98.1561251636669
DCTN3	108.483633182411	116.902332215169	82.1740895158406	84.8332451691194	106.259597188239
DCTPP1	74.7243285889551	66.1236316867454	111.989530606154	76.4414178852421	72.2051010438357
DDAH1	9.57665247866741	9.71364074718216	20.5885206339776	16.2943649390919	25.2870367548203
DDAH2	22.6684771589454	40.0056643152883	9.71815260609044	21.5380489145434	25.7581074027699
DDHD2	11.4100798583102	14.0922352070076	12.7858323106325	7.08015035945216	4.02487581319402
DDI2	14.638897677691	13.4945633783858	14.5563086538595	10.3421172299443	10.4343797689764
DDIT3	93.945814738268	128.956195709404	155.599595051154	42.6305720224785	60.376620987093
DDIT4	252.632569513567	166.431187460927	95.3984851519123	69.5919386076551	176.641189970273
DDOST	74.3173787400032	78.0232840413103	31.7004007508333	55.0370126731667	43.7574328786899
DDR1	2.29630070361058	2.29630070361058	4.86325066506848	3.12074090753161	2.29630070361058
DDR2	44.0533358112515	46.2547928644194	63.3349856194508	66.6032939312861	95.4796529120192
DDT	165.407053116581	206.95034031888	211.291863240175	133.454553995627	183.073296835112
DDX17	257.920187494011	343.521207384385	411.577392137334	441.028622957785	341.078816548377
DDX21	419.283453596448	446.029076135532	147.190376610824	191.255807652899	172.006923864125
DDX39A	110.996791130265	98.5951938986197	85.6577058415852	123.712750564494	137.046700259084
DDX3X	315.887370791504	372.460318384974	231.365881595697	253.253275678227	240.153303736967
DDX6	94.3399495638863	91.1131483090624	70.2503742119993	91.6638490506825	92.5254373091418
DDX60	17.8640016234461	20.5558814741514	5.55771267311946	12.0397248173729	9.99808667456024
DECR1	37.5940418090809	57.6760614961099	82.2354440631349	110.257645361704	84.20338574875
DEDD	6.60437572899999	7.74046516228077	8.59319705765185	8.22796877077681	5.7946569288672
DEDD2	55.7913789345722	76.6055205859771	30.1297574871576	45.2522607690215	39.2333708991724
DEF8	31.3133851805395	20.5097744480712	22.0451813567698	10.6188165903805	25.3104786787206
DEFB1	28.4806818863634	2.40909018537511	2.18868217493916	4.06150865736733	2.73515252848434
DEGS1	64.6789559551483	93.9951853507611	34.6883596382608	80.0323128971048	112.252159103361
DEGS2	2.07926749307552	1.87795111659608	33.138099365921	6.24078765625978	1.9216966630031
DEK	526.491636207107	438.471591042112	708.949856388556	568.752575337412	613.246660880461
DENND2C	15.9339490961707	4.19315626044183	11.6906445680862	5.81319993563465	2.08366703265345
DENND2D	8.83954979607961	10.9638434016045	11.1683590124537	15.4307273831473	20.3780099970242
DEPDC4	3.40722464731213	1.17884710259877	5.12045713118093	1.88485713313453	1.17884710259877
DEPTOR	1.39424412174318	1.26244446804593	2.45968911727645	1.90151256257498	2.43915030170171
DERL1	118.643720810491	97.0083953034807	36.7009637900894	111.822948160414	80.3049840824336
DERL3	86.9272116556019	213.365073643164	184.935053471518	210.448501883926	95.3813534558472
DESI1	66.2983465604209	36.7197763771834	46.9869413177425	50.985576164152	33.4732549440732
DFFB	2.08380149790692	2.17689949583341	1.54516901540726	1.79211007138956	3.40626429085335
DGAT1	7.11151819486048	5.2642268121286	2.4215208120659	3.22245418020452	6.09996780835928
DGAT2	3.82888424821321	6.69391944478878	6.96965792199699	11.7844245968256	7.16961499040459
DGKH	43.3539951122875	51.6058204259888	88.6120745130543	37.8689086528788	34.7955742846819
DGUOK	148.348466715761	81.9671170236042	142.640597619366	171.460497038195	167.977345185038
DGUOK.AS1	2.93754277734882	1.38963019647277	2.47615915234856	1.27089722201155	1.4204831337085
DHCR24	20.9194701935123	18.0319859959126	17.0572616619639	6.54046439002824	9.34687176364377
DHCR7	19.1282198086939	13.9684557247481	18.5151272327204	2.63500556423086	1.5953240984057
DHDH	1.32336053704924	2.01076951574307	1.38192602518052	2.13055932361421	4.83009855239917
DHFR	6.76609599915472	5.58968855216039	8.43479156277921	8.63239737081663	8.47984827400055
DHFRL1	3.22559834933894	5.8536522698169	6.58133325662804	5.56593646544957	3.76376187090308
DHPS	42.3699169168992	30.8518142849096	48.9758942786065	69.9484123083763	66.3323665857232
DHRS11	2.23674453329497	3.38661592207801	3.15184120752055	4.10334836495088	2.54793073696346
DHRS2	10.1197951210269	10.0152798699683	107.48568009928	35.5704697620043	10.246501564582
DHRS3	24.9050534850485	34.4482843078246	96.7930224909275	52.9980086457106	47.0963186831774
DHRS7	47.3074973881186	92.9419608929493	50.6915562045149	110.498308976072	114.614385985696
DICER1	71.0266623910678	78.4451961985776	74.6019457245112	67.5271359307119	54.4324919394911
DIP2C	6.40758427466113	3.28313407720976	18.5990207060912	3.5206241518452	8.83938117449396
DISP1	3.5049883289387	0.98631242353924	4.4544730383926	3.90423563403604	7.27125229066493
DIXDC1	14.3190026681861	12.2842839223196	25.1140053187025	32.7352339032016	49.45868774386
DKC1	42.9751027885938	42.5027389023295	29.4600011270912	20.0215520185565	22.6348829455367
DLEU1	4.62343481913073	1.18135109778112	8.34186300721227	6.61791519102984	3.08529563723757
DLG2	1.07900505066071	1.64089071900724	2.47908509991478	9.38991998714184	3.33953176715425
DLG4	5.83907896386464	10.2595725550255	3.81501845518714	10.886731989955	7.65740618562778
DLGAP1.AS1	6.51434245913303	14.9796621851573	16.6850333973843	4.59909011724797	9.03447575851673
DLX5	1.52209119874954	1.37849630704286	1.37849630704286	1.52762909931303	1.5403830410985
DMKN	51.4108639504927	23.3854818737609	13.8097146900286	11.3067044614654	5.73488592498561
DMTF1	9.38685214166885	13.960120393517	11.712420590554	11.1095451748286	9.73201955382006
DMTN	1.47479355271111	1.34407097028459	2.38710230440135	8.11452654045493	10.4017993207506
DNAH6	1.1356607954934	1.2417623456936	6.42749879234306	5.19403365482783	1.5210874827601
DNAJA1	553.081024644426	482.40310770189	258.090915611238	466.277168686613	386.301178514581
DNAJA4	63.1546924868822	56.7009702913521	99.4279329127193	57.7381471580099	38.5797277841787
DNAJB1	541.811818187889	352.957707103923	538.35624726847	510.036823103099	611.189059454854
DNAJB11	208.088500069834	231.077431243821	161.896475015429	129.223176376709	124.395663509958
DNAJB4	31.1191177786433	74.0636118577234	37.4712209296977	70.7837838028293	60.7437521065228
DNAJB9	40.264885305939	33.8985035450721	28.7583038600182	50.8880944294381	26.5229546086944
DNAJC10	56.0280943309661	76.3736189954462	61.2830869568324	63.0545407812068	54.9883673334472
DNAJC15	181.921547719055	147.731278894925	50.4391032251021	75.3084022968115	61.821142980483
